ID,Context,Source,comments,DE,ES,FR,garbled,JA,lengthened,PT,RU,ZH-Hans
TXT_Popup_Terraforming2_Title,Frontend,Increase The Atmosphere & Temperature,,Verstärke die Atmosphäre & erhöhe die Temperatur,Aumenta La Atmósfera Y La Temperatura,Augmenter la température et la pression atmosphérique,,大気濃度&温度を上昇させる,,Aumente a atmosfera e a temperatura,Поднять плотность атмосферы и температуру,提升大气气压与气温
TXT_Popup_Terraforming2_Subtitle,Frontend,Initiate Terraforming Stage 2,,Leite Terraforming-Phase 2 ein,Inicia La Fase 2 De La Terraformación,Lancer la phase 2 du processus de terraformation,,テラフォーミング第二段階を開始する,,Inicie a fase 2 da terraformação,Запуск 2 этапа терраформирования,启动火星改造第二阶段工作
TXT_Popup_Terraforming2_Description,Frontend,"Congratulations! The CO<sub>2</sub> trapped in the polar caps of Mars has been liberated.<br><br>The conditions are ripe for stage 2. Create an atmosphere by realising the CO<sub>2</sub> trapped in the regolith.<br><br>· Raise the pressure to 300 mbar.<br><br>Keep it up with the plan, and terraform Mars!",,"Glückwunsch! Das CO<sub>2</sub> in den Polkappen des Mars wurde freigesetzt.<br><br>Die Bedingungen sind reif für Phase 2. Erzeuge eine Atmosphäre, indem du das im Regolith gebundene CO<sub>2</sub> freisetzt.<br><br>· Erhöhe den Druck auf 300 mbar.<br><br>Folge weiter dem Plan und terraforme den Mars!",¡Enhorabuena! El CO<sub>2</sub> atrapado en los casquetes polares de Marte ha sido liberado.<br><br>Las condiciones están dadas para pasar a la fase 2. Crear una atmósfera liberando el CO<sub>2</sub> atrapado en el regolito.<br><br>· Eleva la presión a 300 mbar.<br><br>¡Sigue adelante con la misión!,Félicitations ! Le CO<sub>2</sub> piégé dans les calottes polaires de Mars a été libéré.<br><br>Les conditions sont idéales pour lancer la phase 2. Créez une atmosphère en libérant le CO<sub>2</sub> piégé dans le régolithe.<br><br> · Augmentez la pression jusqu'à 300 millibars.<br><br>Appliquez scrupuleusement le plan et terraformez Mars !,,おめでとうございます！火星の氷冠に含まれていたCO<sub>2</sub>が大気中に放たれました。<br><br>第二段階へ移れる環境になりました。表土に含まれているCO<sub>2</sub>を放ち、大気を作りましょう。<br><br>· 気圧を300ミリバールまで上げる。<br><br>この調子で計画を進め、火星をテラフォーミングしましょう！,,Parabéns! O CO<sub>2</sub> preso nas calotas polares de Marte foi liberado.<br><br>As condições são perfeitas para a fase 2. Crie uma atmosfera liberando o CO<sub>2</sub> preso no regolito.<br><br>· Aumente a pressão até 300 mbar.<br><br>Atenha-se ao plano e terraforme Marte!,"Поздравляю! Ты высвободила запертый в полярных ледяных шапках CO<sub>2</sub>.<br><br>Самое время перейти ко 2 этапу. Создай на Марсе атмосферу, высвободив CO<sub>2</sub> из реголита.<br><br>· Подними давление до 300 мАтм.<br><br>Действуй по плану и терраформируй Марс!",恭喜！火星极冠的二氧化碳现已释出。<br><br>第二阶段的前置条件已经成熟，解放表岩屑内的二氧化碳，大气方可形成。<br><br>· 令气压提升至300毫巴。<br><br>严格按照计划推进工作，将火星改造成地球一样的家园！
TXT_Popup_Terraforming3_Title,Frontend,Create Conditions For Life,,Schaffe Bedingungen für das Leben,Crea Condiciones Para La Vida,Créer les conditions de la vie,,生命が活動できる環境を作る,,Crie condições para a existência de vida,Создать условия для жизни,创造生命存活所需的条件
TXT_Popup_Terraforming3_Subtitle,Frontend,Initiate Terraforming Stage 3,,Leite Terraforming-Phase 3 ein,Inicia La Fase 3 De La Terraformación,Lancer la phase 3 du processus de terraformation,,テラフォーミング第三段階を開始する,,Inicie a fase 3 da terraformação,Запуск 3 этапа терраформирования,启动火星改造第三阶段工作
TXT_Popup_Terraforming3_Description,Frontend,"Congratulations! The CO<sub>2</sub> trapped in the regolith has been freed, increasing the planet's atmosphere and temperature, which in turn have increased the amounts of liquid water.<br><br>The conditions are ripe for stage 3. Elevate the planet's temperature by reaching 1 millibar of oxygen, and raise water stock to 400 meters.<br><br>· Raise the temperature to 0°C.<br>· Raise O<sub>2</sub> levels to 1 mbar.<br>· Raise water stock to 400 meters.<br><br>Keep it up with the plan, and terraform Mars!",,"Glückwunsch! Das im Regolith gebundene CO<sub>2</sub> wurde freigesetzt und hat so die Atmosphäre und die Temperatur des Planeten erhöht, was wiederum für mehr flüssiges Wasser gesorgt hat.<br><br>Die Bedingungen sind reif für Phase 3. Steigere die Planetentemperatur, indem du 1 Millibar Sauerstoff erreichst und den Wasserstand auf 400 Meter anhebst.<br><br>· Erhöhe die Temperatur auf 0°C.<br>· Erhöhe O<sub>2</sub> auf 1 mbar.<br>· Hebe den Wasserstand auf 400 Meter.<br><br>Folge weiter dem Plan und terraforme den Mars!","¡Enhorabuena! El CO<sub>2</sub> atrapado en el regolito se ha liberado, aumentando la atmósfera y la temperatura del planeta, lo que a su vez ha aumentado las cantidades de agua líquida.<br><br>Las condiciones están dadas para la pasar a la fase 3. Elevar la temperatura del planeta hasta alcanzar 1 milibar de oxígeno, y elevar los depósitos de agua hasta los 400 m.<br><br>· Eleva la temperatura a 0°C.<br>· Eleva el nivel de O<sub>2</sub> a 1 mbar.<br>· Eleva los depósitos de agua hasta los 400 m.<br><br>¡Sigue adelante con la misión!","Félicitations ! Le CO<sub>2</sub> piégé dans le régolithe a été libéré. Cela a eu pour effet d'accroître la pression atmosphérique et la température sur Mars, ce qui a augmenté la quantité d'eau à l'état liquide à la surface.<br><br>Les conditions sont idéales pour lancer la phase 3. Augmentez la température de la planète en atteignant 1 millibar d'oxygène et augmentez les réserves d'eau jusqu'à 400 mètres.<br><br>- Augmentez la température jusqu'à 0 °C.<br>- Augmentez les niveaux d'O<sub>2</sub> jusqu'à 1 millibar.<br>- Augmentez les réserves d'eau jusqu'à 400 mètres.<br><br>Appliquez scrupuleusement le plan et terraformez Mars !",,おめでとうございます！表土に含まれていたCO<sub>2</sub>が大気中に放たれ、惑星の大気と温度が上昇しました。その結果、水の量が増えました。<br><br>第三段階へ移れる環境になりました。酸素1ミリバールを達成し、貯水量を400メーターまで増やしましょう。<br><br>· 気温を0°Cまで上げる。<br>· O<sub>2</sub>を1ミリバールまで上げる。<br>· 貯水量を400メーターまで増やす。<br><br>この調子で計画を進め、火星をテラフォーミングしましょう！,,"Parabéns! O CO<sub>2</sub> preso no regolito foi liberado, aumentando a temperatura e a atmosfera do planeta, que, por sua vez, aumentou as quantidades de água líquida.<br><br>As condições são perfeitas para a fase 3. Eleve a temperatura do planeta atingindo 1 milibar de oxigênio e suba o nível da água até 400 metros.<br><br>· Aumente a temperatura até 0 °C.<br>· Aumente o nível de O<sub>2</sub> até 1 mbar.<br>· Aumente o nível da água até 400 metros.<br><br>Atenha-se ao plano e terraforme Marte!","Поздравляю! Ты высвободила запертый в реголите CO<sub>2</sub>, тем самым увеличив плотность атмосферы и температуру на поверхности. Это, в свою очередь, привело к накоплению на поверхности планеты ещё более значительных запасов жидкой воды.<br><br>Самое время перейти к 3 этапу. Увеличь температуру на Марсе, повысив парциальное давление кислорода в его атмосфере до 1 мАтм., и подними уровень статических запасов воды до 400 метров<br><br>· Подними температуру до 0°C.<br>· Подними уровень O2 до 1 мАтм.<br>· Подними уровень статических запасов воды до 400 метров.<br><br>Действуй по плану и терраформируй Марс!",恭喜！表岩屑内的二氧化碳得到解放，因而提升了火星的气压与气温，进而增加了液态水的含量。<br><br>第三阶段的前置条件已经成熟。令氧气气压达到1毫巴，继续提升行星气温，并令水量达到400米。<br><br>· 令气温达到0°C。<br>· 令氧气水平达到1毫巴。<br>· 令水量增至400米。<br><br>严格按照计划推进工作，将火星改造成地球一样的家园！
TXT_Popup_Terraforming4_Title,Frontend,Increase Oxygen Levels,,Erhöhe den Sauerstoffgehalt,Aumenta El Nivel De Oxígeno,Augmenter le taux d'oxygène,,酸素レベルを上昇させる,,Aumente os níveis de oxigênio,Увеличить содержание кислорода,提高氧气水平
TXT_Popup_Terraforming4_Subtitle,Frontend,Initiate Terraforming Stage 4,,Leite Terraforming-Phase 4 ein,Inicia La Fase 4 De La Terraformación,Lancer la phase 4 du processus de terraformation,,テラフォーミング第四段階を開始する,,Inicie a fase 4 da terraformação,Запуск 4 этапа терраформирования,启动火星改造第四阶段工作
TXT_Popup_Terraforming4_Description,Frontend,"Congratulations! The planet's temperature has reached 0 Celsius, and the level of oxygen is at least at 1 mbar.<br><br>The conditions are ripe for stage 4. Allow the presence of more sophisticated life forms by increasing O<sub>2</sub> to 120 millibars.<br><br>Oxygen levels above 30% means high flammability risk. Introduce a buffer gas (Nitrogen) into the atmosphere to keep the oxygen level low.<br><br>· Raise O<sub>2</sub> to 120 mbar.<br><br>Keep it up with the plan, and terraform Mars! ",,"Glückwunsch! Die Planetentemperatur hat 0 Grad Celsius erreicht und der Sauerstoffgehalt liegt bei mindestens 1 mbar.<br><br>Die Bedingungen sind reif für Phase 4. Ermögliche das Entstehen komplexerer Lebensformen, indem du den O<sub>2</sub>-Gehalt auf 120 Millibar erhöhst.<br><br>Ein Sauerstoffgehalt von mehr als 30% bedeutet ein höheres Brandrisiko. Setze ein Puffergas (Stickstoff) in der Atmosphäre frei, um den Sauerstoffgehalt niedrig zu halten.<br><br>· Erhöhe O<sub>2</sub> auf 120 mbar.<br><br>Folge weiter dem Plan und terraforme den Mars!",¡Enhorabuena! La temperatura del planeta ha alcanzado los 0 grados Celsius y el nivel de oxígeno es de al menos 1 mbar.<br><br>Las condiciones están dadas para la pasar a la fase 4. Permitir la presencia de formas de vida más sofisticadas aumentando el nivel de O<sub>2</sub> a 120 milibares.<br><br>Un nivel de oxígeno por encima del 30% implica un alto riesgo de incendios. Introduce un gas amortiguador en la atmósfera para mantener el nivel de oxígeno bajo.<br><br>· Eleva el nivel de O<sub>2</sub> a 120 mbar.<br><br>¡Sigue adelante con la misión!,"Félicitations ! La température a atteint 0 °C, et le taux d'oxygène est d'au moins 1 millibar.<br><br>Les conditions sont idéales pour lancer la phase 4. Faites en sorte de pouvoir introduire des formes de vie plus évoluées dans l'écosystème en augmentant le taux d'O<sub>2</sub> de l'atmosphère jusqu'à 120 millibars.<br><br>S'il y a plus de 30 % d'oxygène dans l'air, tout risque de devenir beaucoup plus inflammable. Ajoutez un gaz tampon à l'atmosphère (l'azote) afin que le taux d'oxygène reste suffisamment bas.<br><br>· Augmentez les niveaux d'O<sub>2</sub> jusqu'à 120 millibars.<br><br>Appliquez scrupuleusement le plan et terraformez Mars !",,おめでとうございます！惑星の気温がセ氏0度に到達し、酸素レベルが最低1ミリバールに達しました。<br><br>第四段階へ移れる環境になりました。O<sub>2</sub>を120ミリバールまで高め、高度な生命体が存在できる環境づくりを進めましょう。<br><br>酸素濃度が30%を超えると、引火の恐れが出てきます。大気中にバッファガス（窒素）を取り入れて、酸素濃度を抑えましょう。<br><br>- O<sub>2</sub>を120ミリバールまで上げる。<br><br>この調子で計画を進め、火星をテラフォーミングしましょう！,,Parabéns! A temperatura do planeta chegou a 0 graus Celsius e o nível de oxigênio é pelo menos 1 mbar.<br><br>As condições são perfeitas para a fase 4. Possibilite a presença de formas de vida mais sofisticadas aumentando o O<sub>2</sub> para 120 milibares.<br><br>Níveis de oxigênio acima de 30% geram grandes riscos de incêndio. Introduza um gás inerte (nitrogênio) na atmosfera para manter o nível de oxigênio baixo.<br><br>· Aumente o O<sub>2</sub> até 120 mbar.<br><br>Atenha-se ao plano e terraforme Marte!,"Поздравляю! Температура на Марсе поднялась до 0 градусов по Цельсию, а уровень кислорода – до минимум 1 мАтм.<br><br>Самое время перейти к 4 этапу. Создай условия для развития более сложных форм жизни, увеличив содержание O<sub>2</sub> до 120 миллиатмосфер.<br><br>Концентрация кислорода в атмосфере выше 30% чревата угрозой возгораний. Удерживай уровень кислорода в безопасных пределах, выбрасывая в атмосферу буферный газ (азот).<br><br>– Подними уровень O<sub>2</sub> до 120 мАтм.<br><br>Действуй по плану и терраформируй Марс!",恭喜！行星气温达到0摄氏度，氧气水平升至1毫巴以上。<br><br>第四阶段的前置条件已经成熟。氧气达到120毫巴之后，火星才能出现更加复杂的生命形态。<br><br>氧气浓度超过30%，失火的概率就会大大增加。因此，大气需要引入某种缓冲气体（氮气），以防止氧气浓度过高。<br><br>令氧气水平提升至120毫巴。<br><br>严格按照计划推进工作，将火星改造成地球一样的家园！
TXT_Popup_Terraforming5_Title,Frontend,Create A Breathable Atmosphere,,Erzeuge eine atembare Atmosphäre.,Inicia La Fase 5 De La Terraformación,Créer une atmosphère respirable,,呼吸ができる大気を作り出す,,Crie uma atmosfera respirável,Создать пригодную для дыхания атмосферу,形成适合呼吸的大气层。
TXT_Popup_Terraforming5_Subtitle,Frontend,Initiate Terraforming Stage 5,,Leite Terraforming-Phase 5 ein,Crea Una Atmósfera Respirable,Lancer la phase 5 du processus de terraformation,,テラフォーミング第五段階を開始する,,Inicie a fase 5 da terraformação,Запуск 5 этапа терраформирования,启动火星改造第五阶段工作
TXT_Popup_Terraforming5_Description,Frontend,"Congratulations! O<sub>2</sub> has been further increased to at least 120 millibars, leading to the development of more sophisticated life forms.<br><br>The conditions are ripe for stage 5. Create a breathable atmosphere by balancing the CO<sub>2</sub> and O<sub>2</sub> levels.<br><br>Remember to keep the oxygen concentration below 30% at all times by releasing Nitrogen into the atmosphere.<br><br>· Lower CO<sub>2</sub> levels to 5%.<br>· Lower O<sub>2</sub> levels to 30%.<br>· Build an artificial magnetosphere.<br><br>Keep it up with the plan, and terraform Mars!",,"Glückwunsch! O<sub>2</sub> wurde auf mindestens 120 Millibar erhöht, sodass komplexere Lebensformen entstehen konnten.<br><br>Die Bedingungen sind reif für Phase 5. Erzeuge eine atembare Atmosphäre, indem du den CO<sub>2</sub>- und O<sub>2</sub>-Gehalt ausbalancierst.<br><br>Denk daran, den Sauerstoffgehalt durchgehend unter 30% zu halten, indem du Stickstoff in der Atmosphäre freisetzt.<br><br>· Verringere CO<sub>2</sub>-Gehalt auf 5%.<br>· Verringere O<sub>2</sub>-Gehalt auf 30%.<br>· Baue eine künstliche Magnetosphäre auf.<br><br>Folge weiter dem Plan und terraforme den Mars!","¡Enhorabuena! Has incrementado el O<sub>2</sub> hasta los 120 milibares, lo que ha llevado al desarrollo de formas de vida más sofisticadas.<br><br>Las condiciones están dadas para la pasar a la fase 5. Crear una atmósfera respirable equilibrando los niveles de CO<sub>2</sub> y O<sub>2</sub>.<br><br>Recuerda mantener la concentración de oxígeno por debajo del 30% en todo momento liberando nitrógeno a la atmósfera.<br><br>· Baja el nivel de CO<sub>2</sub> un 5%.<br>· Baja el nivel de O<sub>2</sub> un 30%.<br>· Construye una magnetosfera artificial.<br><br>¡Sigue adelante con la misión!","Félicitations ! Le taux d'O<sub>2</sub> dans l'atmosphère est désormais d'au moins 120 millibars, ce qui permet le développement de formes de vie plus évoluées.<br><br>Les conditions sont idéales pour lancer la phase 5. Créez une atmosphère respirable en équilibrant les niveaux de CO<sub>2</sub> et d'O<sub>2</sub>.<br><br>N'oubliez pas de veiller à ce que la concentration en oxygène reste en permanence en dessous de 30 % en libérant de l'azote dans l'atmosphère.<br><br> · Abaissez les niveaux de CO<sub>2</sub> jusqu'à 5 %.<br> · Abaissez les niveaux d'O<sub>2</sub> jusqu'à 30 %.<br> · Créez une magnétosphère artificielle.<br><br>Appliquez scrupuleusement le plan et terraformez Mars !",,おめでとうございます！O<sub>2</sub>が120ミリバールまで上昇し、より高度な生命体の開発が行えるようになりました。<br><br>第五段階へ移れる環境になりました。CO<sub>2</sub>とO<sub>2</sub>のバランスを調整し、呼吸ができる大気を作り出しましょう。<br><br>窒素を大気中へ常に放出し、酸素濃度を30%未満に抑えることも忘れずに。<br><br>· CO<sub>2</sub>を5%未満まで抑える。<br>· O<sub>2</sub>を30%未満まで抑える。<br>· 人工の磁気圏を作り出す。<br><br>この調子で計画を進め、火星をテラフォーミングしましょう！,,"Parabéns! O O<sub>2</sub> foi aumentado para pelo menos 120 milibares, levando ao desenvolvimento de formas de vida mais sofisticadas.<br><br>As condições são perfeitas para a fase 5. Crie uma atmosfera respirável equilibrando os níveis de CO<sub>2</sub> e O<sub>2</sub>.<br><br>Lembre-se de manter sempre a concentração de oxigênio abaixo de 30% liberando nitrogênio na atmosfera.<br><br>· Reduza os níveis de CO<sub>2</sub> até 5%.<br>· Reduza os níveis de O<sub>2</sub> até 30%.<br>· Construa uma magnetosfera artificial.<br><br>Atenha-se ao plano e terraforme Marte!","Поздравляю! Содержание O<sub>2</sub> увеличилось до минимум 120 миллиатмосфер, что позволяет развиваться более сложным формам жизни.<br><br>Самое время перейти к 5 этапу. Создай на Марсе пригодную для дыхания атмосферу, уравновесив содержание в ней CO<sub>2</sub> и O<sub>2</sub>.<br><br>Не забывай всё время удерживать концентрацию кислорода в атмосфере в пределах 30%, насыщая её азотом.<br><br>· Понизь концентрацию CO<sub>2</sub> до 5%.<br>· Понизь концентрацию O<sub>2</sub> до 30%<br>· Создай искусственную магнитосферу.<br><br>Действуй по плану и терраформируй Марс!",恭喜！氧气水平达到120毫巴以上，火星得以出现更加复杂的生命形态。<br><br>第五阶段的前置条件已经成熟，调节二氧化碳和氧气的浓度，令大气达到适宜呼吸的状态。<br><br>不论什么时候，都千万不能让氧气浓度超过30%，可以增加大气的氮气含量，以此控制氧气的浓度。<br><br>· 令二氧化碳浓度降至5%。<br>· 令氧气浓度降至30%。<br>· 形成人造磁层。<br><br>严格按照计划推进工作，将火星改造成地球一样的家园！
TXT_Popup_TerraformingCompleted_Title,Frontend,Breathable Atmosphere Created,,Atembare Atmosphäre erschaffen,Terraformación Completa,L'atmosphère est désormais respirable,,呼吸可能な大気作りを達成,,Atmosfera respirável criada,Пригодная для дыхания атмосфера создана,适宜呼吸的大气层形成
TXT_Popup_TerraformingCompleted_Subtitle,Frontend,Terraforming Completed,,Terraforming abgeschlossen,Habéis Completado La Misión,Terraformation terminée,,テラフォーミング終了,,Terraformação concluída,Процесс терраформирования завершён,火星改造圆满完成
TXT_Popup_TerraformingCompleted_Description,Frontend,"Congratulations! CO<sub>2</sub> levels are less than 5 percent of the atmosphere, and the O<sub>2</sub> is under 30 percent, enabling the colonists to be in the open without spacesuits.<br><br>The prime directive has been completed!",,"Glückwunsch! Der CO<sub>2</sub>-Gehalt liegt bei unter 5 Prozent und der O<sub>2</sub>-Gehalt bei unter 30 Prozent, sodass die Kolonisten sich ohne Raumanzüge im Freien aufhalten können.<br><br>Deine Hauptaufgabe ist erfüllt!","¡Enhorabuena! Los niveles de CO<sub>2</sub> representan menos del 5% de la atmósfera y el O<sub>2</sub> está por debajo del 30 por ciento, lo que permite a los colonos estar al aire libre sin trajes espaciales.<br><br>¡La directiva primaria ha sido cumplida!","Félicitations ! Le taux de CO<sub>2</sub> dans l'atmosphère est désormais inférieur à 5 %, le taux d'O<sub>2</sub> étant quant à lui inférieur à 30 %. Les colons vont dorénavant pouvoir sortir à l'air libre sans combinaison spatiale.<br><br>La directive a été menée à bien !",,おめでとうございます！CO<sub>2</sub>のレベルが大気の5%を割り、O<sub>2</sub>が30%以下になりました。これにより、宇宙服がなくとも入植者は屋外で活動できるようになります。<br><br>最重要目標を達成しました！,,"Parabéns! Os níveis de CO<sub>2</sub> estão abaixo de 5 por cento da atmosfera, e o O<sub>2</sub> está abaixo de 30 por cento, possibilitando que os colonos fiquem a céu aberto sem trajes espaciais.<br><br>A diretriz principal foi concluída!","Поздравляю! Концентрация CO<sub>2</sub> в атмосфере снизилось до максимум 5%, а O<sub>2</sub> – до максимум 30%. Это позволит колонистам выходить на поверхность Марса без скафандров.<br><br>Ты выполнила свою основную директиву!",恭喜！大气中的二氧化碳含量现已降至5个百分点以下，氧气含量也保持在了30个百分点以下，拓殖人员现在外出不再需要穿宇航服了。<br><br>主要指示执行完毕！
TXT_Popup_PreviewEnded_Title,Frontend,Thanks for playing the PER ASPERA preview!,,Danke für das Spielen der PER ASPERA-Demo!,¡Gracias por jugar la versión preview de PER ASPERA!,Merci d'avoir joué à l'aperçu de PER ASPERA !,,PER ASPERAデモ版を遊んでいただきありがとうございました！,,Agradecemos por jogar a prévia de PER ASPERA!,"Спасибо за то, что играли в версию PER ASPERA для предварительного ознакомления!",感谢体验《繁星苦旅》的预览版本！
TXT_Popup_PreviewEnded_Description,Frontend,The full version will be available on Steam by the end of the year. Add the Per Aspera to your wishlist and get notified of our latest news!,,"Die Vollversion wird Endes des Jahres bei Steam verfügbar sein. Füge Per Aspera deiner Wunschliste hinzu, damit du auf dem Laufenden bleibst!",La versión completa estará disponible en Steam muy pronto. ¡Agrega Per Aspera a tu lista de deseos y recibe notificaciones de nuestras últimas noticias!,La version complète sera disponible sur Steam d'ici la fin de l'année. Ajoutez Per Aspera à votre liste de souhaits pour être notifié de toutes nos actualités.,,今年末に製品版がSteamで発売されます。Per Asperaをウィッシュリストに追加して、最新情報を受け取りましょう！,,A versão completa estará disponível na Steam até o fim do ano. Coloque Per Aspera em sua lista de desejos e receba notificações com nossas últimas novidades!,"Полная версия игры станет доступна в Steam к концу этого года. Добавьте Per Aspera в свой список желаемого, чтобы своевременно узнавать все новости об игре!",游戏的完整版将于今年年底登陆Steam。将《繁星苦旅》加入你的愿望单，即可及时了解我们的最新动态！
TXT_Popup_PreviewEnded_Btn,Frontend,AD ASTRA!,,AD ASTRA!,AD ASTRA!,AD ASTRA !,,AD ASTRA！,,AD ASTRA!,AD ASTRA!,繁星苦旅，砥砺前行！
TXT_Popup_Demo_Title,Frontend,Thanks for playing the Demo!,,Danke für das Spielen der Demoversion!,¡Gracias por jugar la Demo!,Merci d'avoir joué à la démo !,,デモ版を遊んでいただき、ありがとうございました！,,Agradecemos por jogar a demonstração!,"Спасибо за то, что попробовали демо-версию!",感谢你体验《繁星苦旅》的试玩版！
TXT_Popup_Demo_Description,Frontend,"We hope you had as much fun playing it as we had making the game.<br><br>Keep your saves and carry over your progress into the main game by visiting our Steam store page and purchasing the full version, in which you will also be able to:<br><br>· Explore your creativity to terraform Mars with the Sandbox Mode.<br>· Immerse yourself in a science fiction mystery story.<br>· Develop new technologies based on real-world science.<br>· And defend your colonies from unknown and combative forces.",,"Wir hoffen, dass du beim Spielen ebenso viel Spaß hast wie wir beim Entwickeln.<br><br>Du kannst deine Spielstände ins Hauptspiel mitnehmen, wenn du unsere Steam-Seite besuchst und dir die Vollversion holst, die dir folgende Möglichkeiten bietet:<br><br>· Lebe deine Kreativität aus und terraforme den Mars im Sandbox-Modus.<br>· Tauche in eine packende Science-Fiction-Story ein.<br>· Entwickle neue Technologien, die auf realen wissenschaftlichen Erkenntnissen beruhen.<br>· Und verteidige deine Kolonien gegen unbekannte Angreifer.","Esperamos que te hayas divertido tanto como lo hicimos nosotros al desarrollar el juego.<br><br>Conserva tus partidas guardadas y tu progreso visitando nuestra página en la tienda Steam y comprando la versión completa del juego, en la que además es posible:<br><br>· Explorar tu creatividad terraformando Marte con el modo Sandbox.<br>· Sumergirte en una historia de misterio y ciencia ficción.<br>· Desarrollar nuevas tecnologías basadas en ciencia del mundo real.<br>· Defender tus colonias de fuerzas desconocidas y combativas.","Nous espérons que vous avez pris autant de plaisir à jouer au jeu que nous en avons eu à le créer.<br><br>Conservez vos sauvegardes et récupérez votre progression dans le jeu en vous rendant sur notre page Steam et en achetant la version complète, dans laquelle vous pourrez également :<br><br>· Laisser libre cours à votre créativité en terraformant Mars en mode bac à sable.<br>· Vous plonger dans une passionnante histoire de science-fiction.<br>· Mettre au point de nouvelles technologies basées sur les avancées scientifiques actuelles.<br>· Et défendre vos colonies contre des forces inconnues particulièrement agressives.",,私たちがこのゲームを制作中に感じていた楽しさを、プレイを通して体験していただけたでしょうか。<br><br>保存したセーブデータをSteamページからご購入できる製品版に引き継ぐと、以下の内容もお楽しみいただけます。<br><br>・サンドボックスモードで、創造性を発揮しながら火星のテラフォーミングを遂行。<br>・謎めくSFストーリーを体験。<br>・現実の科学に基づいた新技術の開発。<br>・未知の勢力と軍事勢力からコロニーを防衛。,,"Esperamos que tenha se divertido jogando assim como nos divertimos fazendo esse jogo.<br><br>Mantenha seus jogos salvos e leve seu progresso para o jogo principal visitando nossa página na Steam e comprando a versão completa, onde você também vai poder:<br><br>· Explorar sua criatividade para terraformar Marte no modo livre.<br>· Entrar de cabeça em uma história misteriosa de ficção científica.<br>· Desenvolver novas tecnologias com base na ciência do mundo real.<br>· Proteger suas colônias de agressores desconhecidos.","Надеемся, что играть в неё вам было так же интересно, как нам – её создавать.<br><br>Ваши сохранения никуда не пропали. Вы сможете продолжить с того же места, посетив нашу страничку в Steam и приобретя полную версию игры. Полная версия позволит вам:<br><br>- терраформировать Марс по собственному усмотрению в режиме «песочницы»;<br>- раскрывать загадки Красной планеты в сюжетном режиме;<br>- разрабатывать технологии будущего, предсказываемые современными учёными;<br>- и защищать свои базы от неведомых враждебных сил.",我们希望你在游玩过程中体验到的乐趣，能与我们创造这一游戏的快乐相当。<br><br>保留你的存档，到我们的 Steam 商店页上购买完整版，即可将进度转移至主游戏。在完整版中，你还可以：<br><br>· 在沙盒模式中对火星进行地球化改造，探索你的创造力；<br>· 沉浸于科幻小说式的悬疑剧情；<br>· 根据真实世界的科学，发展新技术；<br>· 以及对抗陌生的作战势力，保卫自己的殖民地。
TXT_Popup_Demo_Btn,Frontend,Go To Our Steam Page,,Zu unserer Steam-Seite,Visita Nuestra Página En Steam,Rejoindre notre page Steam,,このゲームのSteamページへ移る,,Vá para a nossa página na Steam,Перейти к нашей страничке в Steam,前往我们的 Steam 页面
TXT_Popup_TechResearched_Subtitle,Frontend,Research Completed,,Forschung abgeschlossen,Investigación Completa,Recherche menée à bien,,研究終了,,Pesquisa concluída,Исследование завершено,科研完成
TXT_Popup_Metrics_Title,Frontend,Anonymous feedback sharing,,Anonymes Feedback,Intercambio Anónimo de Información,Partage de retours anonyme,,匿名によるフィードバック提供,,Compartilhamento anônimo de feedback,Анонимная публикация игровой информации,匿名反馈
